Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
5032;Panthéon - Valette;OUI;39;4;35;4;31;OUI;OUI;2020-12-07T13:24:25+01:00;48.8470205717,2.34649826197;Paris;
31009;Place Du Général De Gaulle;OUI;26;26;0;0;0;OUI;OUI;2020-12-07T13:21:26+01:00;48.8687591,2.4329931;Montreuil;
14020;Cimetière de Montrouge;OUI;58;56;2;1;1;OUI;OUI;2020-12-07T13:24:16+01:00;48.822009,2.322188699;Paris;
12111;Claude Decaen - Cannebière;OUI;27;26;1;0;1;OUI;OUI;2020-12-07T13:23:11+01:00;48.8376141704,2.3972537822;Paris;
41302;Charles de Gaulle - Beauté;OUI;49;47;2;0;2;OUI;OUI;2020-12-07T13:17:29+01:00;48.8364960231,2.47956265115;Nogent-sur-Marne;
8034;Berri - Haussmann;OUI;35;2;33;19;14;OUI;OUI;2020-12-07T13:25:48+01:00;48.8747460474,2.3082953319;Paris;
10016;Récollets - Square Villemin;OUI;17;14;3;0;3;OUI;OUI;2020-12-07T13:25:21+01:00;48.8750346559,2.3598012386;Paris;
26002;Redoute - Les Courtilles;OUI;32;30;2;0;2;OUI;OUI;2020-12-07T13:26:24+01:00;48.9298671945,2.28366963565;Asnières-sur-Seine;
43401;Gare RER - Canadiens;OUI;45;38;7;3;4;OUI;OUI;2020-12-07T13:21:04+01:00;48.8199530796,2.46417675246;Joinville-le-Pont;
12128;Pyramide - Ecole du Breuil;OUI;34;25;9;3;6;OUI;OUI;2020-12-07T13:20:51+01:00;48.8223797715,2.45868712664;Paris;
6006;Notre-Dame-des-Champs - Stanislas;OUI;19;4;15;7;8;OUI;OUI;2020-12-07T13:24:53+01:00;48.8447992886,2.32933775589;Paris;
19101;Square Simon Bolivar;OUI;24;20;4;0;4;OUI;OUI;2020-12-07T13:19:56+01:00;48.8750898883,2.38263040781;Paris;
15056;Place Balard;OUI;22;5;17;15;2;OUI;OUI;2020-12-07T13:26:09+01:00;48.8363957364,2.27841921151;Paris;
14003;Schoelcher - Raspail;OUI;50;49;1;0;1;OUI;OUI;2020-12-07T13:23:53+01:00;48.8368173353,2.33127940804;Paris;
8010;Liège - Moscou;OUI;17;11;6;3;3;OUI;OUI;2020-12-07T13:25:27+01:00;48.8795431,2.3264628;Paris;
46002;Rouget de Lisle;OUI;35;15;20;2;18;OUI;OUI;2020-12-07T13:24:09+01:00;48.7646154834,2.40711897612;Choisy-le-Roi;
31022;Mairie de Montreuil;OUI;52;50;2;1;1;OUI;OUI;2020-12-07T13:24:46+01:00;48.8613145276,2.44061440229;Montreuil;
18003;Cimetière de Montmartre;OUI;43;39;4;0;4;OUI;OUI;2020-12-07T13:25:55+01:00;48.8864724661,2.33289018273;Paris;
33017;Anatole France - President Roosevelt;OUI;29;26;3;3;0;OUI;OUI;2020-12-07T13:26:23+01:00;48.9155156,2.3814103;Aubervilliers;
11113;Richard Lenoir - Republique;OUI;58;54;3;1;2;OUI;OUI;2020-12-07T13:23:27+01:00;48.8667175,2.3692541;Paris;
15042;Henry Farman;OUI;16;2;14;7;7;OUI;OUI;2020-12-07T13:23:43+01:00;48.8337243028,2.27138545364;Paris;
21212;Marne - Germain Dardan;OUI;22;21;0;0;0;OUI;OUI;2020-12-07T13:18:43+01:00;48.811542704,2.30307072401;Montrouge;
